1496B, Max and Mex, implementation math, , , x7296, 
1496A, Split it!, constructive algorithms greedy strings, , , x9120, 
1495F, Squares, constructive algorithms data structures graphs, , , x18, 
1495E, Qingshan and Daniel, data structures, , , x31, 
1495D, BFS Trees, combinatorics dfs and similar graphs math shortest paths trees, , , x265, 
1495C, Garden of the Sun, constructive algorithms graphs, , , x767, 
1495B, Let's Go Hiking, constructive algorithms games greedy implementation, , , x2174, 
1495A, Diamond Miner, geometry greedy math sortings, , , x7318, 
1494F, Delete The Edges, brute force constructive algorithms dfs and similar graphs implementation, , 2900, x165, 
1494E, A-Z Graph, constructive algorithms data structures graphs hashing, , 2400, x930, 
1494D, Dogeforces, constructive algorithms data structures dfs and similar divide and conquer dsu greedy sortings trees, , 2300, x1463, 
1494C, 1D Sokoban, binary search dp greedy implementation two pointers, , 1900, x3235, 
1494B, Berland Crossword, bitmasks brute force greedy implementation, , 1400, x8105, 
1494A, ABC String, bitmasks brute force implementation, , 900, x13135, 
1493F, Enchanted Matrix, bitmasks interactive number theory, , 2600, x143, 
1493E, Enormous XOR, bitmasks constructive algorithms greedy math strings two pointers, , 2600, x370, 
1493D, GCD of an Array, data structures hashing implementation math number theory sortings two pointers, , 2100, x2299, 
1493C, K-beautiful Strings, binary search brute force constructive algorithms greedy strings, , 2000, x2454, 
1493B, Planet Lapituletti, brute force implementation, , 1300, x7587, 
1493A, Anti-knapsack, constructive algorithms greedy, , 800, x12675, 
1492E, Almost Fault-Tolerant Database, brute force constructive algorithms dfs and similar greedy implementation, , 2500, x780, 
1492D, Genius's Gambit, bitmasks constructive algorithms greedy math, , 1900, x3902, 
1492C, Maximum width, binary search data structures dp greedy two pointers, , 1500, x8109, 
1492B, Card Deck, data structures greedy math, , 1100, x11383, 
1492A, Three swimmers, math, , 800, x15127, 
1491I, Ruler Of The Zoo, brute force data structures, , 3500, x15, 
1491H, Yuezheng Ling and Dynamic Tree, data structures trees, , 3400, x183, 
1491G, Switch and Flip, constructive algorithms graphs math, , 2800, x323, 
1491F, Magnets, binary search constructive algorithms interactive, , 2700, x518, 
1491E, Fib-tree, brute force dfs and similar divide and conquer number theory trees, , 2400, x1257, 
1491D, Zookeeper and The Infinite Zoo, bitmasks constructive algorithms dp greedy math, , 1800, x4064, 
1491C, Pekora and Trampoline, brute force data structures dp greedy implementation, , 1700, x4744, 
1491B, Minimal Cost, brute force math, , 1200, x9423, 
1491A, K-th Largest Value, brute force greedy implementation, , 800, x13283, 
1490G, Old Floppy Drive, binary search data structures math, , 1900, x3237, 
1490F, Equalize the Array, binary search data structures greedy math sortings, , 1500, x6976, 
1490E, Accidental Victory, binary search data structures greedy, , 1400, x8402, 
1490D, Permutation Transformation, dfs and similar divide and conquer implementation, , 1200, x10506, 
1490C, Sum of Cubes, binary search brute force math, , 1100, x14496, 
1490B, Balanced Remainders, brute force constructive algorithms math, , 1000, x14832, 
1490A, Dense Array, greedy math, , 800, x18680, 
1488J, Flower Shop, *special problem data structures fft math, , , x4, 
1488I, Demonic Invasion, *special problem flows, , , x12, 
1488H, Build From Suffixes, *special problem combinatorics data structures, , , x21, 
1488G, Painting Numbers, *special problem data structures greedy number theory, , , x60, 
1488F, Dogecoin, *special problem binary search data structures, , , x86, 
1488E, Palindromic Doubles, *special problem data structures dp, , , x122, 
1488D, Problemsolving Marathon, *special problem binary search greedy, , , x187, 
1488C, Two Policemen, *special problem binary search brute force math, , , x236, 
1488B, RBS Deletion, *special problem greedy, , , x317, 
1488A, From Zero To Y, *special problem math, , , x637, 
1487G, String Counting, combinatorics dp fft math, , 2700, x302, 
1487F, Ones, dp greedy shortest paths, , 2900, x179, 
1487E, Cheap Dinner, brute force data structures graphs greedy implementation sortings two pointers, , 2000, x2741, 
1487D, Pythagorean Triples, binary search brute force math number theory, , 1500, x8843, 
1487C, Minimum Ties, brute force constructive algorithms dfs and similar graphs greedy implementation math, , 1500, x7549, 
1487B, Cat Cycle, math number theory, , 1200, x11154, 
1487A, Arena, implementation sortings, , 800, x17801, 
1486F, Pairs of Paths, combinatorics data structures dfs and similar dp trees, , 2600, x321, 
1486E, Paired Payment, binary search brute force constructive algorithms dp flows graphs shortest paths, , 2200, x1681, 
1486D, Max Median, binary search data structures dp, , 2100, x3282, 
1486C2, Guessing the Greatest (hard version), binary search interactive, , 1900, x4827, 
1486C1, Guessing the Greatest (easy version), binary search interactive, , 1600, x6659, 
1486B, Eastern Exhibition, binary search geometry shortest paths sortings, , 1500, x9368, 
1486A, Shifting Stacks, greedy implementation, , 900, x16049, 
1485F, Copy or Prefix Sum, combinatorics data structures dp sortings, , 2400, x1003, 
1485E, Move and Swap, dfs and similar dp greedy trees, , 2500, x744, 
1485D, Multiples and Power Differences, constructive algorithms graphs math number theory, , 2200, x3172, 
1485C, Floor and Mod, binary search brute force math number theory, , 1700, x5457, 
1485B, Replace and Keep Sorted, dp implementation math, , 1200, x9740, 
1485A, Add and Divide, brute force greedy math number theory, , 1000, x12457, 
1481F, AB Tree, dp greedy trees, , 3100, x173, 
1481E, Sorting Books, data structures dp greedy, , 2500, x1178, 
1481D, AB Graph, brute force constructive algorithms graphs greedy implementation, , 2000, x3052, 
1481C, Fence Painting, brute force constructive algorithms greedy, , 1600, x7163, 
1481B, New Colony, brute force greedy implementation, , 1100, x13855, 
1481A, Space Navigation, greedy strings, , 800, x18714, 
1480B, The Great Hero, greedy implementation sortings, , 900, x11915, 
1480A, Yet Another String Game, games greedy strings, , 800, x18083, 
1479E, School Clubs, dp fft math number theory probabilities, , 3500, x44, 
1479D, Odd Mineral Resource, binary search bitmasks brute force data structures probabilities trees, , 2900, x356, 
1479C, Continuous City, bitmasks constructive algorithms, , 2500, x826, 
1479B2, Painting the Array II, constructive algorithms data structures dp greedy implementation, , 2100, x2528, 
1479B1, Painting the Array I, constructive algorithms data structures dp greedy implementation, , 1900, x4505, 
1479A, Searching Local Minimum, binary search interactive ternary search, , 1700, x7096, 
1478C, Nezzar and Symmetric Array, implementation math sortings, , 1700, x6328, 
1478B, Nezzar and Lucky Number, brute force dp greedy math, , 1100, x13250, 
1478A, Nezzar and Colorful Balls, brute force greedy, , 800, x19137, 
1477F, Nezzar and Chocolate Bars, combinatorics fft math probabilities, , 3500, x50, 
1477E, Nezzar and Tournaments, data structures greedy, , 3300, x58, 
1477D, Nezzar and Hidden Permutations, constructive algorithms dfs and similar graphs, , 2800, x260, 
1477C, Nezzar and Nice Beatmap, constructive algorithms geometry greedy math sortings, , 2200, x1494, 
1477B, Nezzar and Binary String, data structures greedy, , 1900, x1951, 
1477A, Nezzar and Board, constructive algorithms math number theory, , 1800, x3772, 
1476G, Minimum Difference, data structures hashing sortings two pointers, , 3100, x164, 
1476F, Lanterns, binary search data structures dp, , 3000, x112, 
1476E, Pattern Matching, bitmasks data structures dfs and similar graphs hashing sortings strings, , 2300, x1539, 
1476D, Journey, dfs and similar dp dsu implementation, , 1700, x5359, 
1476C, Longest Simple Cycle, dp graphs greedy, , 1600, x7110, 
1476B, Inflation, binary search brute force greedy math, , 1300, x12203, 
1476A, K-divisible Sum, binary search constructive algorithms greedy math, , 1000, x16767, 
1475G, Strange Beauty, dp math number theory sortings, , 1900, x3431, 
1475F, Unusual Matrix, 2-sat brute force constructive algorithms, , 1900, x3258, 
1475E, Advertising Agency, combinatorics math sortings, , 1600, x7342, 
1475D, Cleaning the Phone, binary search dp sortings two pointers, , 1800, x5706, 
1475C, Ball in Berland, combinatorics graphs math, , 1400, x11577, 
1475B, New Year's Number, brute force dp math, , 900, x22803, 
1475A, Odd Divisor, math number theory, , 900, x23817, 
1474F, 1 2 3 4 ..., dp math matrices, , 3000, x75, 
1474E, What Is It?, constructive algorithms greedy, , 2500, x905, 
1474D, Cleaning, data structures dp greedy math, , 2200, x2785, 
1474C, Array Destruction, brute force constructive algorithms data structures greedy implementation sortings, , 1700, x7645, 
1474B, Different Divisors, binary search constructive algorithms greedy math number theory, , 1000, x15585, 
1474A, Puzzle From the Future, greedy, , 800, x18077, 
1473G, Tiles, combinatorics dp fft math, , 2800, x211, 
1473F, Strange Set, flows math, , 2700, x462, 
1473E, Minimum Path, graphs shortest paths, , 2400, x1719, 
1473D, Program, data structures dp implementation strings, , 1700, x5890, 
1473C, No More Inversions, constructive algorithms math, , 1500, x8738, 
1473B, String LCM, brute force math number theory strings, , 1000, x17426, 
1473A, Replacing Elements, greedy implementation math sortings, , 800, x21874, 
1472G, Moving to the Capital, dfs and similar dp graphs shortest paths, , 2100, x2382, 
1472F, New Year's Puzzle, brute force dp graph matchings greedy sortings, , 2100, x2016, 
1472E, Correct Placement, binary search data structures dp sortings two pointers, , 1700, x4796, 
1472D, Even-Odd Game, dp games greedy sortings, , 1200, x14392, 
1472C, Long Jumps, dp graphs, , 1100, x16325, 
1472B, Fair Division, dp greedy math, , 800, x22825, 
1472A, Cards for Friends, greedy math, , 800, x23727, 
1471B, Strange List, brute force greedy implementation math, , 1100, x13558, 
1471A, Strange Partition, greedy math number theory, , 900, x16306, 
1470F, Strange Covering, divide and conquer, , 3500, x30, 
1470E, Strange Permutation, binary search combinatorics data structures dp graphs implementation two pointers, , 3200, x119, 
1470D, Strange Housing, constructive algorithms dfs and similar graph matchings graphs greedy, , 2200, x2225, 
1470C, Strange Shuffle, binary search brute force constructive algorithms interactive, , 2500, x910, 
1470B, Strange Definition, bitmasks graphs hashing math number theory, , 1900, x4316, 
1470A, Strange Birthday Party, binary search dp greedy sortings two pointers, , 1300, x12529, 
1469F, Power Sockets, binary search data structures greedy, , 2600, x549, 
1469E, A Bit Similar, bitmasks brute force hashing string suffix structures strings two pointers, , 2400, x1334, 
1469D, Ceil Divisions, brute force constructive algorithms math number theory, , 1700, x6231, 
1469C, Building a Fence, dp greedy implementation two pointers, , 1600, x7004, 
1469B, Red and Blue, dp greedy, , 1000, x15414, 
1469A, Regular Bracket Sequence, constructive algorithms greedy, , 1000, x16912, 
1468N, Waste Sorting, greedy implementation, , 900, x4768, 
1468M, Similar Sets, data structures graphs implementation, , 2300, x448, 
1468L, Prime Divisors Selection, binary search greedy math number theory, , 2700, x195, 
1468K, The Robot, brute force implementation, , 1600, x2934, 
1468J, Road Reform, dsu graphs greedy, , 1800, x1888, 
1468I, Plane Tiling, geometry implementation math, , 2500, x298, 
1468H, K and Medians, constructive algorithms greedy math, , 2200, x1121, 
1468G, Hobbits, binary search geometry, , 2500, x520, 
1468F, Full Turn, geometry hashing number theory, , 1700, x2160, 
1468E, Four Segments, greedy, , 800, x5640, 
1468D, Firecrackers, binary search sortings, , 1700, x2451, 
1468C, Berpizza, data structures implementation, , 1400, x3428, 
1468B, Bakery, data structures dsu, , 2900, x87, 
1468A, LaIS, data structures dp greedy, , 2200, x930, 
1467E, Distinctive Roots in a Tree, data structures dfs and similar dp trees, , 2500, x777, 
1467D, Sum of Paths, combinatorics dp math, , 2200, x2482, 
1467C, Three Bags, constructive algorithms greedy, , 1900, x4376, 
1467B, Hills And Valleys, brute force implementation, , 1700, x7561, 
1467A, Wizard of Orz, constructive algorithms greedy math, , 900, x17347, 
1466I, The Riddle of the Sphinx, binary search data structures interactive, , 3400, x75, 
1466H, Finding satisfactory solutions, combinatorics dp graphs greedy math, , 3300, x72, 
