204
SMITH	1	2442977	1	2376206
JOHNSON	2	1932812	2	1857160
WILLIAMS	3	1625252	3	1534042
BROWN	4	1437026	4	1380145
JONES	5	1425470	5	1362755
GARCIA	6	1166120	8	858289
MILLER	7	1161437	6	1127803
DAVIS	8	1116357	7	1072335
RODRIGUEZ	9	1094924	9	804240
MARTINEZ	10	1060159	11	775072
HERNANDEZ	11	1043281	15	706372
LOPEZ	12	874523	21	621536
GONZALEZ	13	841025	23	597718
WILSON	14	801882	10	783051
ANDERSON	15	784404	12	762394
THOMAS	16	756142	14	710696
TAYLOR	17	751209	13	720370
MOORE	18	724374	16	698671
JACKSON	19	708099	18	666125
MARTIN	20	702625	17	672711
LEE	21	693023	22	605860
PEREZ	22	681645	29	488521
THOMPSON	23	664644	19	644368
WHITE	24	660491	20	639515
HARRIS	25	624252	24	593542
SANCHEZ	26	612752	33	441242
CLARK	27	562679	25	548369
RAMIREZ	28	557423	42	388987
LEWIS	29	531781	26	509930
ROBINSON	30	529821	27	503028
WALKER	31	523129	28	501307
YOUNG	32	484447	31	465948
ALLEN	33	482607	32	463368
KING	34	465422	35	438986
WRIGHT	35	458980	34	440367
SCOTT	36	439530	36	420091
TORRES	37	437813	50	325169
NGUYEN	38	437645	57	310125
HILL	39	434827	41	411770
FLORES	40	433969	55	312615
GREEN	41	430182	37	413477
ADAMS	42	427865	39	413086
NELSON	43	424958	40	412236
BAKER	44	419586	38	413351
HALL	45	407076	30	473568
RIVERA	46	391114	59	299463
CAMPBELL	47	386157	43	371953
MITCHELL	48	384486	44	367433
CARTER	49	376966	46	362548
ROBERTS	50	376774	45	366215
GOMEZ	51	365655	68	263590
PHILLIPS	52	360802	47	351848
EVANS	53	355593	48	342237
TURNER	54	348627	49	335663
DIAZ	55	347636	73	251772
PARKER	56	336221	51	324246
CRUZ	57	334201	82	231065
EDWARDS	58	332423	53	317070
COLLINS	59	329770	52	317848
REYES	60	327904	81	232511
STEWART	61	324957	54	312899
MORRIS	62	318884	56	311754
MORALES	63	311777	90	217642
MURPHY	64	308417	58	300501
COOK	65	302589	60	294795
ROGERS	66	302261	61	294403
GUTIERREZ	67	293218	96	212905
ORTIZ	68	286899	94	214683
MORGAN	69	286280	62	276400
COOPER	70	280791	64	270097
PETERSON	71	278297	63	275041
BAILEY	72	277845	66	265916
REED	73	277030	65	267443
KELLY	74	267394	69	260385
HOWARD	75	264826	70	254779
RAMOS	76	263464	112	193096
KIM	77	262352	109	194067
COX	78	261231	72	253771
WARD	79	260464	71	254121
RICHARDSON	80	259798	74	249533
WATSON	81	252579	76	242432
BROOKS	82	251663	77	240751
CHAVEZ	83	250898	118	185865
WOOD	84	250715	75	247299
JAMES	85	249379	80	233224
BENNETT	86	247599	78	239055
GRAY	87	246116	79	236713
MENDOZA	88	242771	134	168567
RUIZ	89	238234	129	175429
HUGHES	90	236271	83	229390
PRICE	91	235251	84	228756
ALVAREZ	92	233983	132	168817
CASTILLO	93	230420	135	165473
SANDERS	94	230374	88	220902
PATEL	95	229973	172	145066
MYERS	96	229895	85	224824
LONG	97	229374	86	223494
ROSS	98	229368	89	219961
FOSTER	99	227764	87	221040
JIMENEZ	100	227118	147	157475
POWELL	101	224874	91	216553
JENKINS	102	222653	95	213737
PERRY	103	221741	97	212644
RUSSELL	104	221558	93	215432
SULLIVAN	105	220990	92	215640
BELL	106	220599	67	264752
COLEMAN	107	219070	102	208624
BUTLER	108	218847	98	210879
HENDERSON	109	218393	101	210094
BARNES	110	218241	99	210426
GONZALES	111	214758	110	193934
FISHER	112	214703	100	210279
VASQUEZ	113	212781	143	159989
SIMMONS	114	210182	103	201650
ROMERO	115	208614	154	153772
JORDAN	116	208403	105	197212
PATTERSON	117	205423	104	198557
ALEXANDER	118	204621	111	193443
HAMILTON	119	201746	107	194331
GRAHAM	120	201159	108	194074
REYNOLDS	121	200247	106	195598
GRIFFIN	122	198406	114	190636
WALLACE	123	197276	113	190760
MORENO	124	196925	170	146088
WEST	125	195818	115	188464
COLE	126	195289	116	187793
HAYES	127	194246	117	187473
BRYANT	128	192773	120	183761
HERRERA	129	192711	175	140786
GIBSON	130	190667	119	184420
ELLIS	131	188968	121	181934
TRAN	132	188498	188	136095
MEDINA	133	188497	176	139353
AGUILAR	134	186512	213	126399
STEVENS	135	185674	122	181417
MURRAY	136	184910	123	178414
FORD	137	184832	124	178397
CASTRO	138	184134	194	133254
MARSHALL	139	183922	125	177213
OWENS	140	182719	126	176334
HARRISON	141	181091	128	175577
FERNANDEZ	142	180842	178	139302
MCDONALD	143	180497	127	176094
WOODS	144	177425	133	168814
WASHINGTON	145	177386	138	163036
KENNEDY	146	176865	130	171636
WELLS	147	176230	131	170635
VARGAS	148	173835	221	123952
HENRY	149	170964	142	161392
CHEN	150	169580	260	105544
FREEMAN	151	169149	140	162686
WEBB	152	168878	137	163481
TUCKER	153	167446	139	162933
GUZMAN	154	167044	230	118390
BURNS	155	165925	141	162153
CRAWFORD	156	164457	146	158121
OLSON	157	164035	136	163502
SIMPSON	158	163181	145	158241
PORTER	159	163054	148	156848
HUNTER	160	162440	153	154410
GORDON	161	161833	151	154934
MENDEZ	162	161717	242	112736
SILVA	163	161633	214	126164
SHAW	164	160400	150	155172
SNYDER	165	160262	144	159363
MASON	166	160213	149	155484
DIXON	167	159480	156	152015
MUNOZ	168	158483	232	117774
HUNT	169	158421	157	151986
HICKS	170	158320	155	153618
HOLMES	171	156780	161	150166
PALMER	172	156601	158	150407
WAGNER	173	155795	152	154516
BLACK	174	154738	160	150186
ROBERTSON	175	153666	159	150299
BOYD	176	153469	164	149476
ROSE	177	153397	168	146924
STONE	178	153329	162	149802
SALAZAR	179	152703	240	113468
FOX	180	152334	167	147357
WARREN	181	152147	166	147906
MILLS	182	151942	165	147909
MEYER	183	150895	163	149664
RICE	184	149500	169	146440
SCHMIDT	185	147034	171	145565
GARZA	186	147005	220	124130
DANIELS	187	146570	180	138776
FERGUSON	188	146426	173	142256
NICHOLS	189	145584	174	141936
STEPHENS	190	144646	181	138742
SOTO	191	144451	257	106631
WEAVER	192	143837	179	138811
RYAN	193	143452	177	139335
GARDNER	194	142894	182	138660
PAYNE	195	142601	183	138028
GRANT	196	142277	192	134034
DUNN	197	141427	185	136955
KELLEY	198	140693	184	137555
SPENCER	199	139951	189	134443
HAWKINS	200	139751	191	134066
ARNOLD	201	138893	187	136315
PIERCE	202	138629	186	136517
VAZQUEZ	203	138322	328	84926
HANSEN	204	137977	193	133474
